username,phone,email,password,name,emergency,doorService,masters,openTime,closeTime,address
boutique1,9784512310,boutique123@gmail.com,site,Beauty boutiques,1,1,23,9:30:00,7:30:00,1
boutique2,9784512311,boutique2@gmail.com,site,PV boutiques,1,1,24,9:30:00,7:30:00,2
boutique3,9784512312,boutique3@gmail.com,site,Awesome boutiques,1,1,25,9:30:00,7:30:00,3
boutique4,9784512313,boutique4@gmail.com,site,F and F Matching,1,0,26,9:30:00,7:30:00,4
boutique5,9784512314,boutique5@gmail.com,site,Stitch boutiqueing,1,1,27,9:30:00,7:30:00,5
boutique6,9784512315,boutique6@gmail.com,site,Fair Matches,1,0,28,9:30:00,7:30:00,6
boutique7,9784512316,boutique7@gmail.com,site,AK boutiques,1,1,29,9:30:00,7:30:00,7
boutique8,9784512317,boutique8@gmail.com,site,Mango Boutiqes,1,1,30,9:30:00,7:30:00,8
boutique9,9784512318,boutique9@gmail.com,site,Passion Matching,1,0,31,9:30:00,7:30:00,9
boutique10,9784512319,boutique10@gmail.com,site,Unique boutiqueing,1,1,32,9:30:00,7:30:00,10
boutique11,9784512320,boutique11@gmail.com,site,Sudha boutiqueing,1,0,33,9:30:00,7:30:00,11
boutique12,9784512321,boutique12@gmail.com,site,J and J stitches,1,1,34,9:30:00,7:30:00,12
boutique13,9784512322,boutique13@gmail.com,site,Sunny boutiques,1,1,35,9:30:00,7:30:00,13
boutique14,9784512323,boutique14@gmail.com,site,Cuty cuts,1,0,36,9:30:00,7:30:00,14
boutique15,9784512324,boutique15@gmail.com,site,Baby Boutique,1,0,37,9:30:00,7:30:00,15
boutique16,9784512325,boutique16@gmail.com,site,Sneha Boutique,1,0,38,9:30:00,7:30:00,16
boutique17,9784512326,boutique17@gmail.com,site,Purple Boutique,1,0,39,9:30:00,7:30:00,17
boutique18,9784512327,boutique18@gmail.com,site,Red boutiques,1,0,40,9:30:00,7:30:00,18
boutique19,9784512328,boutique19@gmail.com,site,Grape boutiques,1,0,41,9:30:00,7:30:00,19
boutique20,9784512329,boutique20@gmail.com,site,Orange Boutique,1,0,42,9:30:00,7:30:00,20
boutique21,9784512330,boutique21@gmail.com,site,Perfect boutiques,1,1,43,9:30:00,7:30:00,21
boutique22,9784512331,boutique22@gmail.com,site,Perfume Boutiques,1,1,44,9:30:00,7:30:00,22
boutique23,9784512332,boutique23@gmail.com,site,Packer Stitches,1,0,45,9:30:00,7:30:00,23
boutique24,9784512333,boutique24@gmail.com,site,Hello boutiques,1,1,46,9:30:00,7:30:00,24
boutique25,9784512334,boutique25@gmail.com,site,Bonus Boutique,1,0,47,9:30:00,7:30:00,25
boutique26,9784512335,boutique26@gmail.com,site,Kutty Fashion World,1,0,48,9:30:00,7:30:00,26
boutique27,9784512336,boutique27@gmail.com,site,Dolly boutiques,1,0,49,9:30:00,7:30:00,27
boutique28,9784512337,boutique28@gmail.com,site,Minnu Magic boutiques,1,0,50,9:30:00,7:30:00,28
boutique29,9784512338,boutique29@gmail.com,site,Heaven Boutique,1,0,51,9:30:00,7:30:00,29
