username,phone,email,password,name,emergency,doorService,masters,openTime,closeTime,address
fashion1,9784512410,fashion123@gmail.com,site,Beauty fashions,1,1,,,,1
fashion2,9784512411,fashion2@gmail.com,site,PV fashions,1,1,,,,2
fashion3,9784512412,fashion3@gmail.com,site,Awesome fashions,1,1,,,,3
fashion4,9784512413,fashion4@gmail.com,site,F and F Matching,1,0,,,,4
fashion5,9784512414,fashion5@gmail.com,site,Stitch fashioning,1,1,,,,5
fashion6,9784512415,fashion6@gmail.com,site,Fair Matches,1,0,,,,6
fashion7,9784512416,fashion7@gmail.com,site,AK fashions,1,1,,,,7
fashion8,9784512417,fashion8@gmail.com,site,Mango Boutiqes,1,1,,,,8
fashion9,9784512418,fashion9@gmail.com,site,Passion Matching,1,0,,,,9
fashion10,9784512419,fashion10@gmail.com,site,Unique fashioning,1,1,,,,10
fashion11,9784512420,fashion11@gmail.com,site,Sudha fashioning,1,0,,,,11
fashion12,9784512421,fashion12@gmail.com,site,J and J stitches,1,1,,,,12
fashion13,9784512422,fashion13@gmail.com,site,Sunny fashions,1,1,,,,13
fashion14,9784512423,fashion14@gmail.com,site,Cuty cuts,1,0,,,,14
fashion15,9784512424,fashion15@gmail.com,site,Baby fashion,1,0,,,,15
fashion16,9784512425,fashion16@gmail.com,site,Sneha fashion,1,0,,,,16
fashion17,9784512426,fashion17@gmail.com,site,Purple fashion,1,0,,,,17
fashion18,9784512427,fashion18@gmail.com,site,Red fashions,1,0,,,,18
fashion19,9784512428,fashion19@gmail.com,site,Grape fashions,1,0,,,,19
fashion20,9784512429,fashion20@gmail.com,site,Orange fashion,1,0,,,,20
fashion21,9784512430,fashion21@gmail.com,site,Perfect fashions,1,1,,,,21
fashion22,9784512431,fashion22@gmail.com,site,Perfume fashions,1,1,,,,22
fashion23,9784512432,fashion23@gmail.com,site,Packer Stitches,1,0,,,,23
fashion24,9784512433,fashion24@gmail.com,site,Hello fashions,1,1,,,,24
fashion25,9784512434,fashion25@gmail.com,site,Bonus fashion,1,0,,,,25
fashion26,9784512435,fashion26@gmail.com,site,Kutty Fashion World,1,0,,,,26
fashion27,9784512436,fashion27@gmail.com,site,Dolly fashions,1,0,,,,27
fashion28,9784512437,fashion28@gmail.com,site,Minnu Magic fashions,1,0,,,,28
fashion29,9784512438,fashion29@gmail.com,site,Heaven fashion,1,0,,,,29
