username,phone,email,password,name,emergency,doorService,masters,openTime,closeTime,address
maggam1,9784512510,maggam123@gmail.com,site,Beauty maggams,1,1,12,,,1
maggam2,9784512511,maggam2@gmail.com,site,PV maggams,1,1,13,,,2
maggam3,9784512512,maggam3@gmail.com,site,Awesome maggams,1,1,14,,,3
maggam4,9784512513,maggam4@gmail.com,site,F and F Matching,1,0,15,,,4
maggam5,9784512514,maggam5@gmail.com,site,Stitch maggaming,1,1,16,,,5
maggam6,9784512515,maggam6@gmail.com,site,Fair Matches,1,0,17,,,6
maggam7,9784512516,maggam7@gmail.com,site,AK maggams,1,1,18,,,7
maggam8,9784512517,maggam8@gmail.com,site,Mango Boutiqes,1,1,19,,,8
maggam9,9784512518,maggam9@gmail.com,site,Passion Matching,1,0,20,,,9
maggam10,9784512519,maggam10@gmail.com,site,Unique maggaming,1,1,21,,,10
maggam11,9784512520,maggam11@gmail.com,site,Sudha maggaming,1,0,22,,,11
maggam12,9784512521,maggam12@gmail.com,site,J and J stitches,1,1,23,,,12
maggam13,9784512522,maggam13@gmail.com,site,Sunny maggams,1,1,24,,,13
maggam14,9784512523,maggam14@gmail.com,site,Cuty cuts,1,0,25,,,14
maggam15,9784512524,maggam15@gmail.com,site,Baby maggam,1,0,26,,,15
maggam16,9784512525,maggam16@gmail.com,site,Sneha maggam,1,0,27,,,16
maggam17,9784512526,maggam17@gmail.com,site,Purple maggam,1,0,28,,,17
maggam18,9784512527,maggam18@gmail.com,site,Red maggams,1,0,29,,,18
maggam19,9784512528,maggam19@gmail.com,site,Grape maggams,1,0,30,,,19
maggam20,9784512529,maggam20@gmail.com,site,Orange maggam,1,0,31,,,20
maggam21,9784512530,maggam21@gmail.com,site,Perfect maggams,1,1,32,,,21
maggam22,9784512531,maggam22@gmail.com,site,Perfume maggams,1,1,33,,,22
maggam23,9784512532,maggam23@gmail.com,site,Packer Stitches,1,0,34,,,23
maggam24,9784512533,maggam24@gmail.com,site,Hello maggams,1,1,35,,,24
maggam25,9784512534,maggam25@gmail.com,site,Bonus maggam,1,0,36,,,25
maggam26,9784512535,maggam26@gmail.com,site,Kutty maggam World,1,0,37,,,26
maggam27,9784512536,maggam27@gmail.com,site,Dolly maggams,1,0,38,,,27
maggam28,9784512537,maggam28@gmail.com,site,Minnu Magic maggams,1,0,39,,,28
maggam29,9784512538,maggam29@gmail.com,site,Heaven maggam,1,0,40,,,29
