username,phone,email,password,name,emergency,doorService,masters,openTime,closeTime,address
tailor1,9784512144,tailor123@gmail.com,site,Beauty Tailors,1,,22,9:30:00,7:30:00,1
tailor2,9784512145,tailor2@gmail.com,site,PV Tailors,1,,23,9:30:00,7:30:00,2
tailor3,9784512146,tailor3@gmail.com,site,Awesome Tailors,1,,24,9:30:00,7:30:00,3
tailor4,9784512147,tailor4@gmail.com,site,F and F Matching,1,,25,9:30:00,7:30:00,4
tailor5,9784512148,tailor5@gmail.com,site,Stitch Tailoring,1,,26,9:30:00,7:30:00,5
tailor6,9784512149,tailor6@gmail.com,site,Fair Matches,1,,27,9:30:00,7:30:00,6
tailor7,9784512121,tailor7@gmail.com,site,AK Tailors,1,,28,9:30:00,7:30:00,7
tailor8,9784512122,tailor8@gmail.com,site,Mango Boutiqes,1,,29,9:30:00,7:30:00,8
tailor9,9784512123,tailor9@gmail.com,site,Passion Matching,1,,30,9:30:00,7:30:00,9
tailor10,9784512124,tailor10@gmail.com,site,Unique Tailoring,1,,31,9:30:00,7:30:00,10
tailor11,9784512125,tailor11@gmail.com,site,Sudha Tailoring,1,,32,9:30:00,7:30:00,11
tailor12,9784512126,tailor12@gmail.com,site,J and J stitches,1,,33,9:30:00,7:30:00,12
tailor13,9784512127,tailor13@gmail.com,site,Sunny Tailors,1,,34,9:30:00,7:30:00,13
tailor14,9784512128,tailor14@gmail.com,site,Cuty cuts,1,,35,9:30:00,7:30:00,14
tailor15,9784512129,tailor15@gmail.com,site,Baby Boutique,1,,36,9:30:00,7:30:00,15
tailor16,9784512130,tailor16@gmail.com,site,Sneha Boutique,1,,37,9:30:00,7:30:00,16
tailor17,9784512131,tailor17@gmail.com,site,Purple Boutique,1,,38,9:30:00,7:30:00,17
tailor18,9784512132,tailor18@gmail.com,site,Red Tailors,1,,39,9:30:00,7:30:00,18
tailor19,9784512133,tailor19@gmail.com,site,Grape Tailors,1,,40,9:30:00,7:30:00,19
tailor20,9784512134,tailor20@gmail.com,site,Orange Boutique,1,,41,9:30:00,7:30:00,20
tailor21,9784512135,tailor21@gmail.com,site,Perfect Tailors,1,,42,9:30:00,7:30:00,21
tailor22,9784512136,tailor22@gmail.com,site,Perfume Boutiques,1,,43,9:30:00,7:30:00,22
tailor23,9784512137,tailor23@gmail.com,site,Packer Stitches,1,,44,9:30:00,7:30:00,23
tailor24,9784512138,tailor24@gmail.com,site,Hello Tailors,1,,45,9:30:00,7:30:00,24
tailor25,9784512139,tailor25@gmail.com,site,Bonus Boutique,1,,46,9:30:00,7:30:00,25
tailor26,9784512140,tailor26@gmail.com,site,Kutty Fashion World,1,,47,9:30:00,7:30:00,26
tailor27,9784512141,tailor27@gmail.com,site,Dolly Tailors,1,,48,9:30:00,7:30:00,27
tailor28,9784512142,tailor28@gmail.com,site,Minnu Magic Tailors,1,,49,9:30:00,7:30:00,28
tailor29,9784512143,tailor29@gmail.com,site,Heaven Boutique,1,,50,9:30:00,7:30:00,29
